338 AMERICA  2
 -114.7  30.1
 -114.8  31.7
 -113.0  31.1
 -112.9  30.0
 -112.1  29.0
 -111.1  28.0
 -110.6  28.0
 -110.6  27.4
 -109.2  26.4
 -109.4  25.8
 -108.3  25.3
 -108.0  24.8
 -105.7  22.5
 -105.6  21.7
 -105.3  21.5
 -105.2  21.1
 -105.5  20.9
 -105.3  20.6
 -105.7  20.4
 -104.9  19.3
 -103.9  18.8
 -103.5  18.4
 -102.8  18.0
 -102.0  18.0
 -101.0  17.3
  -98.0  16.0
  -96.2  15.7
  -95.1  16.1
  -94.2  16.0
  -93.5  15.7
  -92.0  14.3
  -91.0  13.9
  -90.5  14.0
  -89.8  13.5
  -88.9  13.1
  -87.9  13.1
  -85.8  11.1
  -85.9  10.2
  -85.1   9.7
  -84.9  10.0
  -83.7   9.0
  -83.8   8.5
  -82.9   8.3
  -81.0   7.8
  -81.0   7.1
  -80.2   7.4
  -80.5   8.1
  -79.8   8.6
  -79.5   9.0
  -78.8   8.8
  -78.1   7.5
  -77.5   6.6
  -77.4   3.5
  -80.0   0.3
  -80.9  -1.2
  -80.5  -2.5
  -80.0  -3.2
  -81.4  -4.2
  -80.9  -6.2
  -78.8  -8.5
  -78.1  -9.9
 48 AFRICA   2
   11.0  37.0
    5.0  36.9
   -4.5  35.2
   -5.4  35.9
   -6.0  35.8
   -7.0  34.0
   -8.4  33.3
   -9.2  32.3
   -9.9  31.7
   -9.9  30.8
   -9.6  30.4
  -10.1  29.2
  -11.8  28.1
  -13.0  27.9
  -13.5  26.8
  -14.3  26.2
  -16.4  22.5
  -16.9  22.0
  -17.0  21.0
  -16.1  20.2
  -16.1  19.9
  -16.5  19.5
  -16.0  18.8
  -16.0  17.9
  -16.5  16.7
  -16.5  16.0
  -17.5  14.8
  -16.8  14.0
  -16.8  12.2
  -15.5  12.0
  -15.4  11.2
  -13.2   9.1
  -12.9   7.8
   -8.4   4.6
   -7.4   4.2
   -6.0   5.0
   -3.9   5.2
   -2.0   4.9
    0.3   5.9
    2.2   6.3
    4.0   6.5
    5.0   6.0
    5.4   4.6
    8.0   4.4
    8.9   4.5
    9.9   3.1
    8.9  -1.1
   11.0  -1.0
 17 EUROPE   2
    6.0  43.0
    1.5  50.0
   -2.0  49.7
   -1.5  48.8
   -4.8  48.6
   -4.7  48.0
   -2.8  47.5
   -1.0  46.0
   -1.7  43.5
   -8.0  43.7
   -9.1  43.0
   -8.6  41.1
   -9.2  38.9
   -8.7  38.5
   -8.9  37.1
   -7.0  37.2
   -5.5  36.1
 14 ENGLAND  2
   -5.5  50.0
    1.2  51.0
    1.5  52.8
   -3.1  56.0
   -1.9  57.5
   -5.0  58.5
   -6.1  57.5
   -4.9  54.9
   -3.5  54.9
   -3.0  53.3
   -4.4  53.3
   -4.0  52.5
   -5.1  51.9
   -3.4  51.3
  8 IRELAND  2
   -9.6  51.5
   -6.3  52.2
   -6.0  54.9
   -7.9  55.1
  -10.0  53.9
   -9.0  53.1
   -9.8  52.1
  -10.3  52.1
  7 PRICO    2
  -67.2  18.0
  -66.8  17.9
  -66.4  18.0
  -65.9  18.0
  -65.7  18.3
  -66.0  18.5
  -67.2  18.5
 36 HSPANLA  2
  -74.5  18.3
  -73.8  18.0
  -73.7  18.2
  -73.2  18.2
  -72.8  18.1
  -72.3  18.2
  -71.8  18.1
  -71.4  17.6
  -71.1  18.0
  -71.1  18.3
  -70.6  18.4
  -70.6  18.2
  -70.0  18.3
  -69.5  18.4
  -69.0  18.4
  -68.7  18.1
  -68.3  18.5
  -68.8  18.9
  -69.6  19.1
  -69.2  19.3
  -69.8  19.3
  -69.9  19.7
  -71.0  19.8
  -71.7  19.8
  -72.0  19.7
  -72.6  19.9
  -73.2  19.9
  -73.5  19.7
  -73.0  19.7
  -72.8  19.3
  -72.8  19.0
  -72.3  18.6
  -72.7  18.3
  -73.2  18.3
  -73.7  18.5
  -74.2  18.6
 11 JAMIACA  2
  -78.2  18.3
  -78.3  18.2
  -78.0  18.2
  -77.7  17.8
  -77.2  17.7
  -76.9  17.9
  -76.5  17.8
  -76.2  17.8
  -76.4  18.2
  -76.9  18.3
  -77.9  18.5
 46 CUBA     2
  -84.8  21.8
  -84.2  21.8
  -84.0  22.2
