GRIB2
0 19 20  "ICIP" "Icing" "%"
0 19 21  "CTP" "In-Cloud Turbulence" "%"
0 19 22  "CAT" "Clear Air Turbulence (CAT)" "%"
0 19 23  "SLDP" "Supercooled Large Droplet (SLD) Probability" "%"
0 19 192  "MXSALB" "Maximum Snow Albedo" "%"
0 19 193  "SNFALB" "Snow-Free Albedo" "%"
0 19 194  "SRCONO" "Slight risk convective outlook" "categorical"
0 19 195  "MRCONO" "Moderate risk convective outlook" "categorical"
0 19 196  "HRCONO" "High risk convective outlook" "categorical"
0 19 197  "TORPROB" "Tornado probability" "%"
0 19 198  "HAILPROB" "Hail probability" "%"
0 19 199  "WINDPROB" "Wind probability" "%"
0 19 200  "STORPROB" "Significant Tornado probability" "%"
0 19 201  "SHAILPRO" "Significant Hail probability" "%"
0 19 202  "SWINDPRO" "Significant Wind probability" "%"
0 19 203  "TSTMC" "Categorical Thunderstorm (1-yes" " "
0 19 204  "MIXLY" "Number of mixed layers next to surface" "Integer"
0 19 205  "FLGHT" "Flight Category" "-"
0 19 206  "CICEL" "Confidence - Ceiling" "-"
0 19 207  "CIVIS" "Confidence - Visibility" "-"
0 19 208  "CIFLT" "Confidence - Flight Category" "-"
0 19 209  "LAVNI" "Low-Level aviation interest" "-"
0 19 210  "HAVNI" "High-Level aviation interest" "-"
0 19 211  "SBSALB" "Visible" " "
0 19 212  "SWSALB" "Visible" " "
0 19 213  "NBSALB" "Near IR" " "
0 19 214  "NWSALB" "Near IR" " "
0 19 215  "PRSVR" "Total Probability of Severe Thunderstorms (Days 2" " "
0 19 216  "PRSIGSVR" "Total Probability of Extreme Severe Thunderstorms (Days 2" " "
0 19 217  "SIPD" "Supercooled Large Droplet (SLD) Icing" "-"
0 19 218  "EPSR" "Radiative emissivity" "-"
0 19 219  "TPFI" "Turbulence Potential Forecast Index" "-"
0 19 232  "VAFTD" "Volcanic Ash Forecast Transport and Dispersion" "log10(kg/m3)"
0 20 0  "MASSDEN" "Mass Density (Concentration)" "kg/m^3"
0 20 1  "COLMD" "Column-Integrated Mass Density" "kg/m^2"
0 20 2  "MASSMR" "Mass Mixing Ratio (Mass Fraction in Air)" "kg/kg"
0 20 3  "AEMFLX" "Atmosphere Emission Mass Flux" "kg/m^2/s"
0 20 4  "ANPMFLX" "Atmosphere Net Production Mass Flux" "kg/m^2/s"
0 20 5  "ANPEMFLX" "Atmosphere Net Production And Emision Mass Flux" "kg/m^2/s"
0 20 6  "SDDMFLX" "Surface Dry Deposition Mass Flux" "kg/m^2/s"
0 20 7  "SWDMFLX" "Surface Wet Deposition Mass Flux" "kg/m^2/s"
0 20 8  "AREMFLX" "Atmosphere Re-Emission Mass Flux" "kg/m^2/s"
0 20 50  "AIA" "Amount in Atmosphere" "mol"
0 20 51  "CONAIR" "Concentration In Air" "molm-3"
0 20 52  "VMXR" "Volume Mixing Ratio (Fraction in Air)" "molmol-1"
0 20 53  "CGPRC" "Chemical Gross Production Rate of Concentration" "molm-3s-1"
0 20 54  "CGDRC" "Chemical Gross Destruction Rate of Concentration" "molm-3s-1"
0 20 55  "SFLUX" "Surface Flux" "molm-2s-1"
0 20 56  "COAIA" "Changes Of Amount in Atmosphere" "mol/s"
0 20 57  "TYABA" "Total Yearly Average Burden of The Atmosphere" "mol"
0 20 58  "TYAAL" "Total Yearly Average Atmospheric Loss" "mol/s"
0 20 100  "SADEN" "Surface Area Density (Aerosol)" "1/m"
0 20 101  "AOTK" "Atmosphere Optical Thickness" "m"
0 20 131  "NO2TROP" "Nitrogen Dioxide (NO2) Tropospheric Column" "molcm-2"
0 20 132  "NO2VCD" "Nitrogen Dioxide (NO2) Vertical Column Density" "molcm-2"
0 20 133  "BROVCD" "Bromine Monoxide (BrO) Vertical Column Density" "molcm-2"
0 20 134  "HCHOVCD" "Formaldehyde (HCHO) Vertical Column Density" "molcm-2"
0 190 0  "var190m0" "Arbitrary Text String" "CCITTIA5"
0 191 0  "TSEC" "Seconds prior to initial reference time (defined in Section 1)" "s"
0 191 192  "NLAT" "Latitude (-90 to +90)" "deg"
0 191 193  "ELON" "East Longitude (0 - 360)" "deg"
0 191 194  "TSEC" "Seconds prior to initial reference time" "s"
0 191 195  "MLYNO" "Model Layer number (From bottom up)" "-"
0 191 196  "NLATN" "Latitude (nearest neighbor) (-90 to +90)" "deg"
0 191 197  "ELONN" "East Longitude (nearest neighbor) (0 - 360)" "deg"
0 192 1  "COVMZ" "Covariance between zonal and meridional components of the wind. Defined as [uv]-[u][v]" " "
0 192 2  "COVTZ" "Covariance between izonal component of the wind and temperature. Defined as [uT]-[u][T]" " "
0 192 3  "COVTM" "Covariance between meridional component of the wind and temperature. Defined as [vT]-[v][T]" " "
0 192 4  "COVTW" "Covariance between temperature and vertical component of the wind. Defined as [wT]-[w][T]" " "
0 192 5  "COVZZ" "Covariance between zonal and zonal components of the wind. Defined as [uu]-[u][u]" " "
0 192 6  "COVMM" "Covariance between meridional and meridional components of the wind. Defined as [vv]-[v][v]" " "
0 192 7  "COVQZ" "Covariance between specific humidity and zonal components of the wind. Defined as [uq]-[u][q]" " "
0 192 8  "COVQM" "Covariance between specific humidity and meridional components of the wind. Defined as [vq]-[v][q]" " "
0 192 9  "COVTVV" "Covariance between temperature and vertical components of the wind. Defined as [&#937T]-[&#937][T]" " "
0 192 10  "COVQVV" "Covariance between specific humidity and vertical components of the wind. Defined as [&#937q]-[&#937][q]" " "
0 192 11  "COVPSPS" "Covariance between surface pressure and surface pressure. Defined as [Psfc]-[Psfc][Psfc]" " "
0 192 12  "COVQQ" "Covariance between specific humidity and specific humidy. Defined as [qq]-[q][q]" " "
0 192 13  "COVVVVV" "Covariance between vertical and vertical components of the wind. Defined as [&#937&#937]-[&#937][&#937]" " "
0 192 14  "COVTT" "Covariance between temperature and temperature. Defined as [TT]-[T][T]" " "
1 0 0  "FFLDG" "Flash Flood Guidance (Encoded as an accumulation over a floating subinterval of time between the reference time and valid time)" "kg/m^2"
1 0 1  "FFLDRO" "Flash Flood Runoff (Encoded as an accumulation over a floating subinterval of time)" "kg/m^2"
1 0 2  "RSSC" "Remotely Sensed Snow Cover" "-"
1 0 3  "ESCT" "Elevation of Snow Covered Terrain" "-"
1 0 4  "SWEPON" "Snow Water Equivalent Percent of Normal" "%"
1 0 5  "BGRUN" "Baseflow-Groundwater Runoff" "kg/m^2"
1 0 6  "SSRUN" "Storm Surface Runoff" "kg/m^2"
1 0 192  "BGRUN" "Baseflow-Groundwater Runoff" "kg/m^2"
1 0 193  "SSRUN" "Storm Surface Runoff" "kg/m^2"
1 1 0  "CPPOP" "Conditional percent precipitation amount fractile for an overall period (encoded as an accumulation)" "kg/m^2"
1 1 1  "PPOSP" "Percent Precipitation in a sub-period of an overall period (encoded as a percent accumulation over the sub-period)" "%"
1 1 2  "POP" "Probability of 0.01 inch of precipitation (POP)" "%"
1 1 192  "CPOZP" "Probability of Freezing Precipitation" "%"
1 1 193  "CPOFP" "Probability of Frozen Precipitation" "%"
1 1 194  "PPFFG" "Probability of precipitation exceeding flash flood guidance values" "%"
1 1 195  "CWR" "Probability of Wetting Rain" " "
2 0 0  "LAND" "Land Cover (1=land" " "
2 0 1  "SFCR" "Surface Roughness" "m"
2 0 2  "TSOIL" "Soil Temperature" "K"
2 0 3  "SOILM" "Soil Moisture Content" "kg/m^2"
2 0 4  "VEG" "Vegetation" "%"
2 0 5  "WATR" "Water Runoff" "kg/m^2"
2 0 6  "EVAPT" "Evapotranspiration" "1/kg^2/s"
2 0 7  "MTERH" "Model Terrain Height" "m"
2 0 8  "LANDU" "Land Use" "-"
2 0 9  "SOILW" "Volumetric Soil Moisture Content" "Proportion"
2 0 10  "GFLUX" "Ground Heat Flux" "W/m^2"
2 0 11  "MSTAV" "Moisture Availability" "%"
2 0 12  "SFEXC" "Exchange Coefficient" "kg/m^2/s"
2 0 13  "CNWAT" "Plant Canopy Surface Water" "kg/m^2"
2 0 14  "BMIXL" "Blackadars Mixing Length Scale" "m"
2 0 15  "CCOND" "Canopy Conductance" "m/s"
2 0 16  "RSMIN" "Minimal Stomatal Resistance" "s/m"
2 0 17  "WILT" "Wilting Pointx" "Proportion"
2 0 18  "RCS" "Solar parameter in canopy conductance" "Proportion"
2 0 19  "RCT" "Temperature parameter in canopy conductance" "Proportion"
2 0 20  "RCSOL" "Soil moisture parameter in canopy conductance" "Proportion"
2 0 21  "RCQ" "Humidity parameter in canopy conductance" "Proportion"
2 0 22  "SOILM" "Soil Moisture" "kg/m^3"
2 0 23  "CISOILW" "Column-Integrated Soil Water" "kg/m^2"
2 0 24  "HFLUX" "Heat Flux" "W/m^2"
2 0 25  "VSOILM" "Volumetric Soil Moisture" "m3m-3"
2 0 26  "WILT" "Wilting Point" "kg/m^3"
2 0 27  "VWILTM" "Volumetric Wilting Moisture" "m3m-3"
2 0 192  "SOILW" "Volumetric Soil Moisture Content" "Fraction"
2 0 193  "GFLUX" "Ground Heat Flux" "W/m^2"
2 0 194  "MSTAV" "Moisture Availability" "%"
2 0 195  "SFEXC" "Exchange Coefficient" "(kg/m^3)(m/s)"
2 0 196  "CNWAT" "Plant Canopy Surface Water" "kg/m^2"
2 0 197  "BMIXL" "Blackadars Mixing Length Scale" "m"
2 0 198  "VGTYP" "Vegetation Type" "Integer(0-13)"
2 0 199  "CCOND" "Canopy Conductance" "m/s"
2 0 200  "RSMIN" "Minimal Stomatal Resistance" "s/m"
2 0 201  "WILT" "Wilting Point" "Fraction"
2 0 202  "RCS" "Solar parameter in canopy conductance" "Fraction"
2 0 203  "RCT" "Temperature parameter in canopy conductance" "Fraction"
2 0 204  "RCQ" "Humidity parameter in canopy conductance" "Fraction"
2 0 205  "RCSOL" "Soil moisture parameter in canopy conductance" "Fraction"
2 0 206  "RDRIP" "Rate of water dropping from canopy to ground" "-"
2 0 207  "ICWAT" "Ice-free water surface" "%"
2 0 208  "AKHS" "Surface exchange coefficients for T and Q divided by delta z" "m/s"
2 0 209  "AKMS" "Surface exchange coefficients for U and V divided by delta z" "m/s"
2 0 210  "VEGT" "Vegetation canopy temperature" "K"
2 0 211  "SSTOR" "Surface water storage" "Kg/m2"
2 0 212  "LSOIL" "Liquid soil moisture content (non-frozen)" "Kg/m2"
2 0 213  "EWATR" "Open water evaporation (standing water)" "W/m2"
2 0 214  "GWREC" "Groundwater recharge" "kg/m2"
2 0 215  "QREC" "Flood plain recharge" "kg/m2"
2 0 216  "SFCRH" "Roughness length for heat" "m"
2 0 217  "NDVI" "Normalized Difference Vegetation Index" "-"
2 0 218  "LANDN" "Land-sea coverage (nearest neighbor) [land=1" " "
2 0 219  "AMIXL" "Asymptotic mixing length scale" "m"
2 0 220  "WVINC" "Water vapor added by precip assimilation" "kg/m2"
2 0 221  "WCINC" "Water condensate added by precip assimilation" "kg/m2"
2 0 222  "WVCONV" "Water Vapor Flux Convergance (Vertical Int)" "kg/m2"
2 0 223  "WCCONV" "Water Condensate Flux Convergance (Vertical Int)" "kg/m2"
2 0 224  "WVUFLX" "Water Vapor Zonal Flux (Vertical Int)" "kg/m2"
2 0 225  "WVVFLX" "Water Vapor Meridional Flux (Vertical Int)" "kg/m2"
2 0 226  "WCUFLX" "Water Condensate Zonal Flux (Vertical Int)" "kg/m2"
2 0 227  "WCVFLX" "Water Condensate Meridional Flux (Vertical Int)" "kg/m2"
2 0 228  "ACOND" "Aerodynamic conductance" "m/s"
2 0 229  "EVCW" "Canopy water evaporation" "W/m2"
2 0 230  "TRANS" "Transpiration" "W/m2"
2 3 0  "SOTYP" "Soil Type" "-"
2 3 1  "UPLST" "Upper Layer Soil Temperature" "K"
2 3 2  "UPLSM" "Upper Layer Soil Moisture" "kg/m^3"
2 3 3  "LOWLSM" "Lower Layer Soil Moisture" "kg/m^3"
2 3 4  "BOTLST" "Bottom Layer Soil Temperature" "K"
2 3 5  "SOILL" "Liquid Volumetric Soil Moisture (non-frozen)" "Proportion"
2 3 6  "RLYRS" "Number of Soil Layers in Root Zone" "Numeric"
2 3 7  "SMREF" "Transpiration Stress-onset (soil moisture)" "Proportion"
2 3 8  "SMDRY" "Direct Evaporation Cease (soil moisture)" "Proportion"
2 3 9  "POROS" "Soil Porosity" "Proportion"
2 3 10  "LIQVSM" "Liquid Volumetric Soil Moisture (Non-Frozen)" "m3m-3"
2 3 11  "VOLTSO" "Volumetric Transpiration Stree-Onset(Soil Moisture)" "m3m-3"
2 3 12  "TRANSO" "Transpiration Stree-Onset(Soil Moisture)" "kg/m^3"
2 3 13  "VOLDEC" "Volumetric Direct Evaporation Cease(Soil Moisture)" "m3m-3"
2 3 14  "DIREC" "Direct Evaporation Cease(Soil Moisture)" "kg/m^3"
2 3 15  "SOILP" "Soil Porosity" "m3m-3"
2 3 16  "VSOSM" "Volumetric Saturation Of Soil Moisture" "m3m-3"
2 3 17  "SATOSM" "Saturation Of Soil Moisture" "kg/m^3"
2 3 192  "SOILL" "Liquid Volumetric Soil Moisture (non Frozen)" "Proportion"
2 3 193  "RLYRS" "Number of Soil Layers in Root Zone" "non-dim"
2 3 194  "SLTYP" "Surface Slope Type" "Index"
2 3 195  "SMREF" "Transpiration Stress-onset (soil moisture)" "Proportion"
2 3 196  "SMDRY" "Direct Evaporation Cease (soil moisture)" "Proportion"
2 3 197  "POROS" "Soil Porosity" "Proportion"
2 3 198  "EVBS" "Direct evaporation from bare soil" "W/m-2"
2 3 199  "LSPA" "Land Surface Precipitation Accumulation" "kg/m^2"
2 3 200  "BARET" "Bare soil surface skin temperature" "K"
2 3 201  "AVSFT" "Average surface skin temperature" "K"
2 3 202  "RADT" "Effective radiative skin temperature" "K"
2 3 203  "FLDCP" "Field Capacity" "fraction"
2 4 0  "FIRECRA" "Fire Outlook Critical Risk Area" "%"
2 4 1  "FIREXCRA" "Fire Outlook Extreme Critical Risk Area" "%"
2 4 2  "FIREDLA" "Fire Outlook Dry Lightning Area" "%"
2 4 3  "HINDEX" "Haines Index" "-"
3 0 0  "SRAD" "Scaled Radiance" "Numeric"
3 0 1  "SALBEDO" "Scaled Albedo" "Numeric"
3 0 2  "SBTMP" "Scaled Brightness Temperature" "Numeric"
3 0 3  "SPWAT" "Scaled Precipitable Water" "Numeric"
3 0 4  "SLFTI" "Scaled Lifted Index" "Numeric"
3 0 5  "SCTPRES" "Scaled Cloud Top Pressure" "Numeric"
3 0 6  "SSTMP" "Scaled Skin Temperature" "Numeric"
3 0 7  "CLOUDM" "Cloud Mask" "-"
3 0 8  "PIXST" "Pixel scene type" "-"
3 0 9  "FIREDI" "Fire Detection Indicator" "-"
3 1 0  "ESTP" "Estimated Precipitation" "kg/m^2"
3 1 1  "IRRATE" "Instantaneous Rain Rate" "kg/m^2/s"
3 1 2  "CTOPH" "Cloud Top Height" "m"
3 1 3  "CTOPHQI" "Cloud Top Height Quality Indicator" "-"
3 1 4  "ESTUGRD" "Estimated u-Component of Wind" "1/m"
3 1 5  "ESTVGRD" "Estimated v-Component of Wind" "1/m"
3 1 6  "NPIXU" "Number Of Pixels Used" "Numeric"
3 1 7  "SOLZA" "Solar Zenith Angle" "Degree"
3 1 8  "RAZA" "Relative Azimuth Angle" "Degree"
3 1 9  "RFL06" "Reflectance in 0.6 Micron Channel" "%"
3 1 10  "RFL08" "Reflectance in 0.8 Micron Channel" "%"
3 1 11  "RFL16" "Reflectance in 1.6 Micron Channel" "%"
3 1 12  "RFL39" "Reflectance in 3.9 Micron Channel" "%"
3 1 13  "ATMDIV" "Atmospheric Divergence" "1/s"
3 1 19  "WINDS" "Wind Speed" "m/s"
3 1 20  "AOT06" "Aerosol Optical Thickness at 0.635 um" "-"
3 1 21  "AOT08" "Aerosol Optical Thickness at 0.810 um" "-"
3 1 22  "AOT16" "Aerosol Optical Thickness at 1.640 um" "-"
3 1 23  "ANGCOE" "Angstrom Coefficien" "-"
3 1 192  "USCT" "Scatterometer Estimated U Wind Component" "m/s"
3 1 193  "VSCT" "Scatterometer Estimated V Wind Component" "m/s"
3 192 0  "SBT122" "Simulated Brightness Temperature for GOES 12" " "
3 192 1  "SBT123" "Simulated Brightness Temperature for GOES 12" " "
3 192 2  "SBT124" "Simulated Brightness Temperature for GOES 12" " "
3 192 3  "SBT126" "Simulated Brightness Temperature for GOES 12" " "
3 192 4  "SBC123" "Simulated Brightness Counts for GOES 12" " "
3 192 5  "SBC124" "Simulated Brightness Counts for GOES 12" " "
3 192 6  "SBT112" "Simulated Brightness Temperature for GOES 11" " "
3 192 7  "SBT113" "Simulated Brightness Temperature for GOES 11" " "
3 192 8  "SBT114" "Simulated Brightness Temperature for GOES 11" " "
3 192 9  "SBT115" "Simulated Brightness Temperature for GOES 11" " "
10 0 0  "WVSP1" "Wave Spectra (1)" "non-dim"
10 0 1  "WVSP2" "Wave Spectra (2)" "non-dim"
10 0 2  "WVSP3" "Wave Spectra (3)" "non-dim"
10 0 3  "HTSGW" "Significant Height of Combined Wind Waves and Swell" "m"
10 0 4  "WVDIR" "Direction of Wind Waves" "deg"
10 0 5  "WVHGT" "Significant Height of Wind Waves" "m"
10 0 6  "WVPER" "Mean Period of Wind Waves" "s"
10 0 7  "SWDIR" "Direction of Swell Waves" "deg"
10 0 8  "SWELL" "Significant Height of Swell Waves" "m"
10 0 9  "SWPER" "Mean Period of Swell Waves" "s"
10 0 10  "DIRPW" "Primary Wave Direction" "deg"
10 0 11  "PERPW" "Primary Wave Mean Period" "s"
10 0 12  "DIRSW" "Secondary Wave Direction" "deg"
10 0 13  "PERSW" "Secondary Wave Mean Period" "s"
10 0 14  "WWSDIR" "Direction of Combined Wind Waves and Swell" "deg"
10 0 15  "MWSPER" "Mean Period of Combined Wind Waves and Swell" "s"
10 0 192  "WSTP" "Wave Steepness" "-"
10 1 0  "DIRC" "Current Direction" "deg"
10 1 1  "SPC" "Current Speed" "m/s"
10 1 2  "UOGRD" "U-Component of Current" "m/s"
10 1 3  "VOGRD" "V-Component of Current" "m/s"
10 1 192  "OMLU" "Ocean Mixed Layer U Velocity" "m/s"
10 1 193  "OMLV" "Ocean Mixed Layer V Velocity" "m/s"
10 1 194  "UBARO" "Barotropic U velocity" "m/s"
10 1 195  "VBARO" "Barotropic V velocity" "m/s"
10 2 0  "ICEC" "Ice Cover" "Proportion"
10 2 1  "ICETK" "Ice Thickness" "m"
10 2 2  "DICED" "Direction of Ice Drift" "deg"
10 2 3  "SICED" "Speed of Ice Drift" "m/s"
10 2 4  "UICE" "U-Component of Ice Drift" "m/s"
10 2 5  "VICE" "V-Component of Ice Drift" "m/s"
10 2 6  "ICEG" "Ice Growth Rate" "m/s"
10 2 7  "ICED" "Ice Divergence" "1/s"
10 2 8  "ICET" "Ice Temperature" "K"
10 3 0  "WTMP" "Water Temperature" "K"
10 3 1  "DSLM" "Deviation of Sea Level from Mean" "m"
10 3 192  "SURGE" "Storm Surge" "m"
10 3 193  "ETSRG" "Extra Tropical Storm Surge" "m"
10 3 194  "ELEV" "Ocean Surface Elevation Relative to Geoid" "m"
10 3 195  "SSHG" "Sea Surface Height Relative to Geoid" "m"
10 3 196  "P2OMLT" "Ocean Mixed Layer Potential Density (Reference 2000m)" "kg/m^3"
10 3 197  "AOHFLX" "Net Air-Ocean Heat Flux" "W/m^2"
10 3 198  "ASHFL" "Assimilative Heat Flux" "W/m^2"
10 3 199  "SSTT" "Surface Temperature Trend" "degreeperday"
10 3 200  "SSST" "Surface Salinity Trend" "psuperday"
10 3 201  "KENG" "Kinetic Energy" "J/kg"
10 3 202  "SLTFL" "Salt Flux" "kg/m^2/s"
10 3 242  "TCSRG20" "20% Tropical Cyclone Storm Surge Exceedance" "m"
10 3 243  "TCSRG30" "30% Tropical Cyclone Storm Surge Exceedance" "m"
10 3 244  "TCSRG40" "40% Tropical Cyclone Storm Surge Exceedance" "m"
10 3 245  "TCSRG50" "50% Tropical Cyclone Storm Surge Exceedance" "m"
10 3 246  "TCSRG60" "60% Tropical Cyclone Storm Surge Exceedance" "m"
10 3 247  "TCSRG70" "70% Tropical Cyclone Storm Surge Exceedance" "m"
10 3 248  "TCSRG80" "80% Tropical Cyclone Storm Surge Exceedance" "m"
10 3 249  "TCSRG90" "90% Tropical Cyclone Storm Surge Exceedance" "m"
10 4 0  "MTHD" "Main Thermocline Depth" "m"
10 4 1  "MTHA" "Main Thermocline Anomaly" "m"
10 4 2  "TTHDP" "Transient Thermocline Depth" "m"
10 4 3  "SALTY" "Salinity" "kg/kg"
10 4 4  "OVHD" "Ocean Vertical Heat Diffusivity" "m^2/s"
10 4 5  "OVSD" "Ocean Vertical Salt Diffusivity" "m^2/s"
10 4 6  "OVMD" "Ocean Vertical Momentum Diffusivity" "m^2/s"
10 4 192  "WTMPC" "3-D Temperature" "degc"
10 4 193  "SALIN" "3-D Salinity" "-"
10 4 194  "BKENG" "Barotropic Kinectic Energy" "J/kg"
10 4 195  "DBSS" "Geometric Depth Below Sea Surface" "m"
10 4 196  "INTFD" "Interface Depths" "m"
10 4 197  "OHC" "Ocean Heat Content" "Jm-2"
10 191 0  "TSEC" "Seconds Prior To Initial Reference Time (Defined In Section 1)" "s"
10 191 1  "MOSF" "Meridional Overturning Stream Function" "m^3/s"
255 255 255  "IMGD" "Image data" "-"
